,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,Solana Beach Elementary,-0.07%,0.07%,0.00%
Asian,2019,Solana Beach Elementary,-22.81%,24.73%,1.93%
Black or African American,2019,Solana Beach Elementary,-0.42%,0.42%,0.00%
Caucasian,2019,Solana Beach Elementary,43.30%,51.37%,94.66%
Filipino,2019,Solana Beach Elementary,0.10%,1.04%,1.14%
Hispanic,2019,Solana Beach Elementary,-10.70%,12.97%,2.27%
Multiracial,2019,Solana Beach Elementary,-7.89%,7.89%,0.00%
Native Hawaiian/Pacific Islander,2019,Solana Beach Elementary,-0.03%,0.03%,0.00%
Unknown,2019,Solana Beach Elementary,-1.49%,1.49%,0.00%
