,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,Julian Union High,-3.77%,3.77%,0.00%
Asian,2019,Julian Union High,-1.89%,1.89%,0.00%
Black or African American,2019,Julian Union High,-0.94%,0.94%,0.00%
Caucasian,2019,Julian Union High,10.79%,56.60%,67.39%
Filipino,2019,Julian Union High,10.87%,0.00%,10.87%
Hispanic,2019,Julian Union High,-22.15%,33.02%,10.87%
Multiracial,2019,Julian Union High,-3.77%,3.77%,0.00%
Unreported,2019,Julian Union High,10.87%,0.00%,10.87%
