,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,San Dieguito Union High,-0.09%,0.28%,0.19%
Asian,2019,San Dieguito Union High,-13.07%,16.67%,3.61%
Black or African American,2019,San Dieguito Union High,-0.04%,0.72%,0.69%
Caucasian,2019,San Dieguito Union High,22.21%,62.77%,84.98%
Filipino,2019,San Dieguito Union High,-0.52%,0.91%,0.38%
Hispanic,2019,San Dieguito Union High,-6.02%,14.18%,8.17%
Multiracial,2019,San Dieguito Union High,-2.33%,4.17%,1.83%
Native Hawaiian/Pacific Islander,2019,San Dieguito Union High,0.02%,0.13%,0.15%
Unknown,2019,San Dieguito Union High,-0.16%,0.16%,0.00%
