,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,Fallbrook Union Elementary,1.06%,0.18%,1.24%
Asian,2019,Fallbrook Union Elementary,1.00%,0.65%,1.65%
Black or African American,2019,Fallbrook Union Elementary,-1.18%,2.42%,1.24%
Caucasian,2019,Fallbrook Union Elementary,47.61%,29.72%,77.33%
Filipino,2019,Fallbrook Union Elementary,0.85%,0.56%,1.40%
Hispanic,2019,Fallbrook Union Elementary,-44.85%,61.99%,17.13%
Multiracial,2019,Fallbrook Union Elementary,-4.12%,4.12%,0.00%
Native Hawaiian/Pacific Islander,2019,Fallbrook Union Elementary,-0.28%,0.28%,0.00%
Unknown,2019,Fallbrook Union Elementary,-0.08%,0.08%,0.00%
