,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,South Bay Union Elementary,-3.58%,3.58%,0.00%
Asian,2019,South Bay Union Elementary,-1.69%,1.69%,0.00%
Black or African American,2019,South Bay Union Elementary,-1.05%,1.05%,0.00%
Caucasian,2019,South Bay Union Elementary,35.00%,61.33%,96.33%
Filipino,2019,South Bay Union Elementary,-0.42%,0.42%,0.00%
Hispanic,2019,South Bay Union Elementary,-14.56%,18.23%,3.67%
Multiracial,2019,South Bay Union Elementary,-13.07%,13.07%,0.00%
Native Hawaiian/Pacific Islander,2019,South Bay Union Elementary,-0.32%,0.32%,0.00%
Unknown,2019,South Bay Union Elementary,-0.32%,0.32%,0.00%
