,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,San Pasqual Union Elementary,-0.68%,0.68%,0.00%
Asian,2019,San Pasqual Union Elementary,1.75%,1.37%,3.12%
Black or African American,2019,San Pasqual Union Elementary,-1.54%,1.54%,0.00%
Caucasian,2019,San Pasqual Union Elementary,22.84%,59.93%,82.77%
Filipino,2019,San Pasqual Union Elementary,3.91%,0.86%,4.77%
Hispanic,2019,San Pasqual Union Elementary,-17.54%,26.88%,9.35%
Multiracial,2019,San Pasqual Union Elementary,-6.68%,6.68%,0.00%
Unknown,2019,San Pasqual Union Elementary,-2.05%,2.05%,0.00%
