,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,Del Mar Union Elementary,-0.12%,0.12%,0.00%
Asian,2019,Del Mar Union Elementary,-26.60%,31.93%,5.32%
Black or African American,2019,Del Mar Union Elementary,-0.55%,0.73%,0.18%
Caucasian,2019,Del Mar Union Elementary,40.37%,47.97%,88.34%
Filipino,2019,Del Mar Union Elementary,0.23%,1.10%,1.33%
Hispanic,2019,Del Mar Union Elementary,-7.95%,11.24%,3.28%
Multiracial,2019,Del Mar Union Elementary,-5.94%,6.83%,0.89%
Native Hawaiian/Pacific Islander,2019,Del Mar Union Elementary,-0.09%,0.09%,0.00%
Unreported,2019,Del Mar Union Elementary,0.67%,0.00%,0.67%
