,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,Escondido Union High,0.17%,0.26%,0.44%
Asian,2019,Escondido Union High,0.65%,2.93%,3.58%
Black or African American,2019,Escondido Union High,-0.22%,2.03%,1.81%
Caucasian,2019,Escondido Union High,53.39%,25.05%,78.44%
Filipino,2019,Escondido Union High,-1.18%,2.10%,0.92%
Hispanic,2019,Escondido Union High,-52.08%,64.88%,12.80%
Multiracial,2019,Escondido Union High,0.08%,1.93%,2.01%
Native Hawaiian/Pacific Islander,2019,Escondido Union High,-0.21%,0.21%,0.00%
Unknown,2019,Escondido Union High,-0.60%,0.60%,0.00%
