,,,Gap,Student %,Teacher %
Asian,2019,Cardiff Elementary,-0.86%,0.86%,0.00%
Black or African American,2019,Cardiff Elementary,-0.43%,0.43%,0.00%
Caucasian,2019,Cardiff Elementary,30.36%,69.64%,100.00%
Filipino,2019,Cardiff Elementary,-0.29%,0.29%,0.00%
Hispanic,2019,Cardiff Elementary,-17.70%,17.70%,0.00%
Multiracial,2019,Cardiff Elementary,-7.77%,7.77%,0.00%
Unknown,2019,Cardiff Elementary,-3.31%,3.31%,0.00%
