,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,San Marcos Unified,-0.60%,0.60%,0.00%
Asian,2019,San Marcos Unified,-2.84%,7.47%,4.62%
Black or African American,2019,San Marcos Unified,-2.67%,2.67%,0.00%
Caucasian,2019,San Marcos Unified,36.45%,40.43%,76.88%
Filipino,2019,San Marcos Unified,-2.88%,2.88%,0.00%
Hispanic,2019,San Marcos Unified,-33.55%,45.11%,11.56%
Multiracial,2019,San Marcos Unified,6.84%,0.09%,6.94%
Native Hawaiian/Pacific Islander,2019,San Marcos Unified,-0.74%,0.74%,0.00%
Unknown,2019,San Marcos Unified,0.00%,0.00%,0.00%
