,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,Alpine Union Elementary,-3.97%,3.97%,0.00%
Asian,2019,Alpine Union Elementary,-0.56%,0.56%,0.00%
Black or African American,2019,Alpine Union Elementary,-1.18%,1.18%,0.00%
Caucasian,2019,Alpine Union Elementary,23.80%,58.13%,81.93%
Filipino,2019,Alpine Union Elementary,-0.56%,0.56%,0.00%
Hispanic,2019,Alpine Union Elementary,-9.98%,26.55%,16.57%
Multiracial,2019,Alpine Union Elementary,-5.01%,6.51%,1.51%
Native Hawaiian/Pacific Islander,2019,Alpine Union Elementary,-0.12%,0.12%,0.00%
Unknown,2019,Alpine Union Elementary,-2.42%,2.42%,0.00%
