,,,Gap,Student %,Teacher %
Caucasian,2019,Vallecitos Elementary,55.57%,11.88%,67.45%
Hispanic,2019,Vallecitos Elementary,-70.95%,86.63%,15.68%
Multiracial,2019,Vallecitos Elementary,-1.49%,1.49%,0.00%
Unreported,2019,Vallecitos Elementary,16.86%,0.00%,16.86%
