,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,Rancho Santa Fe Elementary,-0.33%,0.33%,0.00%
Asian,2019,Rancho Santa Fe Elementary,-4.63%,7.15%,2.53%
Black or African American,2019,Rancho Santa Fe Elementary,0.33%,1.33%,1.66%
Caucasian,2019,Rancho Santa Fe Elementary,23.43%,70.72%,94.14%
Filipino,2019,Rancho Santa Fe Elementary,-0.50%,0.50%,0.00%
Hispanic,2019,Rancho Santa Fe Elementary,-10.98%,12.65%,1.66%
Multiracial,2019,Rancho Santa Fe Elementary,-7.32%,7.32%,0.00%
