,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,Santee,-0.01%,0.34%,0.33%
Asian,2019,Santee,-1.22%,2.20%,0.98%
Black or African American,2019,Santee,-1.80%,1.80%,0.00%
Caucasian,2019,Santee,34.88%,53.75%,88.63%
Filipino,2019,Santee,-1.44%,1.44%,0.00%
Hispanic,2019,Santee,-25.93%,28.70%,2.77%
Multiracial,2019,Santee,-7.01%,9.29%,2.28%
Native Hawaiian/Pacific Islander,2019,Santee,-0.23%,0.23%,0.00%
Unknown,2019,Santee,-2.26%,2.26%,0.00%
Unreported,2019,Santee,5.02%,0.00%,5.02%
