,,,Gap,Student %,Teacher %
American Indian or Alaskan Native,2019,Carlsbad Unified,-0.09%,0.30%,0.20%
Asian,2019,Carlsbad Unified,-4.24%,5.86%,1.62%
Black or African American,2019,Carlsbad Unified,-1.04%,1.24%,0.20%
Caucasian,2019,Carlsbad Unified,7.15%,55.90%,63.05%
Filipino,2019,Carlsbad Unified,-0.64%,0.84%,0.20%
Hispanic,2019,Carlsbad Unified,-18.47%,27.51%,9.04%
Multiracial,2019,Carlsbad Unified,-6.04%,8.12%,2.08%
Native Hawaiian/Pacific Islander,2019,Carlsbad Unified,0.38%,0.23%,0.61%
Unreported,2019,Carlsbad Unified,22.98%,0.00%,22.98%
