Color Desc,District,Enrollment Type,County,Data Set,District Classification,Enrollment Breakdown,Metric,Region,Col Label,Row Label,Absenteeism Indicator,Change %
Red,Cajon Valley Union,Amer Indian,San Diego,Fall 2019,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Very High,25.00%,0.00%
Orange,Lakeside Union Elementary (San Diego),Amer Indian,San Diego,Fall 2019,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Very High,23.20%,-1.80%
Red,Mountain Empire Unified,Econ Disadv,San Diego,Fall 2019,Unified School District,Economic Status,currstatus,San Diego/Imperial,Increased Significantly,Very High,21.00%,3.50%
Red,Valley Center-Pauma Unified,Amer Indian,San Diego,Fall 2019,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased Significantly,Very High,37.40%,3.20%
Red,San Diego Unified,Amer Indian,San Diego,Fall 2019,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Very High,21.30%,2.80%
Red,Mountain Empire Unified,Amer Indian,San Diego,Fall 2019,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Very High,39.00%,8.50%
Orange,Bonsall Unified,Amer Indian,San Diego,Fall 2019,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Very High,29.70%,-9.20%
Red,Jamul-Dulzura Union Elementary,Econ Disadv,San Diego,Fall 2019,Elementary School District,Economic Status,currstatus,San Diego/Imperial,Increased Significantly,High,15.40%,3.70%
Orange,Cajon Valley Union,English Learner,San Diego,Fall 2019,Elementary School District,ELL Status,currstatus,San Diego/Imperial,Increased,High,11.10%,1.10%
Orange,Escondido Union,English Learner,San Diego,Fall 2019,Elementary School District,ELL Status,currstatus,San Diego/Imperial,Increased,High,12.90%,1.40%
Orange,Lemon Grove,English Learner,San Diego,Fall 2019,Elementary School District,ELL Status,currstatus,San Diego/Imperial,Increased,High,15.30%,1.60%
Orange,San Ysidro Elementary,English Learner,San Diego,Fall 2019,Elementary School District,ELL Status,currstatus,San Diego/Imperial,Increased,High,11.70%,1.80%
