District,Year,Enrollment Type,County,District Classification,Enrollment Breakdown,Metric,Region,Col Label,Color Desc,Performance Level Label,Row Label,Status %
Alpine Union Elementary,2017,Amer Indian,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined Significantly,Yellow,"High, Declined Significantly (Yellow )",High,3.60%
Alpine Union Elementary,2017,Econ Disadv,San Diego,Elementary School District,Economic Status,currstatus,San Diego/Imperial,Increased,Orange,"Medium, Increased (Orange )",Medium,2.00%
Alpine Union Elementary,2017,SwD,San Diego,Elementary School District,Disability Status,currstatus,San Diego/Imperial,Increased Significantly,Red,"High, Increased Significantly (Red )",High,3.80%
Alpine Union Elementary,2015,White,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,"Very Low, Maintained (Blue )",Very Low,0.40%
Alpine Union Elementary,2015,Amer Indian,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Blue,"Very Low, Declined (Blue )",Very Low,0.00%
Alpine Union Elementary,2015,Hispanic,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Blue,"Very Low, Declined (Blue )",Very Low,0.30%
Alpine Union Elementary,2017,Black,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased Significantly,Red,"Very High, Increased Significantly (Red )",Very High,11.40%
Alpine Union Elementary,2014,Two or More,San Diego,Elementary School District,Race/Ethnicity,priorstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Alpine Union Elementary,2019,Black,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Alpine Union Elementary,2017,Asian,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Alpine Union Elementary,2017,Filipino,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Alpine Union Elementary,2017,Two or More,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,"Very Low, Maintained (Blue )",Very Low,0.00%
Alpine Union Elementary,2014,Pacific Isle,San Diego,Elementary School District,Race/Ethnicity,priorstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Alpine Union Elementary,2016,Black,San Diego,Elementary School District,Race/Ethnicity,priorstatus,San Diego/Imperial,Increased Significantly,Red,"Very High, Increased Significantly (Red )",Very High,0.00%
Alpine Union Elementary,2016,SwD,San Diego,Elementary School District,Disability Status,priorstatus,San Diego/Imperial,Increased Significantly,Red,"High, Increased Significantly (Red )",High,1.50%
Alpine Union Elementary,2014,Black,San Diego,Elementary School District,Race/Ethnicity,priorstatus,San Diego/Imperial,No Color,No Color,,No Color,3.90%
Alpine Union Elementary,2015,Two or More,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,,No Color,4.80%
Alpine Union Elementary,2016,Amer Indian,San Diego,Elementary School District,Race/Ethnicity,priorstatus,San Diego/Imperial,Declined Significantly,Yellow,"High, Declined Significantly (Yellow )",High,8.20%
Alpine Union Elementary,2016,Econ Disadv,San Diego,Elementary School District,Economic Status,priorstatus,San Diego/Imperial,Increased,Orange,"Medium, Increased (Orange )",Medium,1.60%
Alpine Union Elementary,2018,Two or More,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Orange,"Medium, Increased (Orange )",Medium,1.60%
Alpine Union Elementary,2018,SwD,San Diego,Elementary School District,Disability Status,currstatus,San Diego/Imperial,Declined,Green,"Medium, Declined (Green )",Medium,2.30%
Alpine Union Elementary,2018,Econ Disadv,San Diego,Elementary School District,Economic Status,currstatus,San Diego/Imperial,Declined,Green,"Medium, Declined (Green )",Medium,1.60%
Alpine Union Elementary,2018,Hispanic,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Yellow,"Low, Increased (Yellow )",Low,1.50%
Alpine Union Elementary,2018,All Students,San Diego,Elementary School District,All Students,currstatus,San Diego/Imperial,Declined,Green,"Low, Declined (Green )",Low,1.00%
Alpine Union Elementary,2018,Amer Indian,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Green,"Low, Declined (Green )",Low,1.50%
Alpine Union Elementary,2018,White,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Green,"Low, Declined (Green )",Low,0.80%
Alpine Union Elementary,2018,Asian,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Alpine Union Elementary,2018,Filipino,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Alpine Union Elementary,2018,Black,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Blue,"Very Low, Declined (Blue )",Very Low,0.00%
Alpine Union Elementary,2019,Amer Indian,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Red,"Very High, Increased (Red )",Very High,7.80%
Alpine Union Elementary,2019,SwD,San Diego,Elementary School District,Disability Status,currstatus,San Diego/Imperial,Increased Significantly,Red,"High, Increased Significantly (Red )",High,6.00%
Alpine Union Elementary,2019,Econ Disadv,San Diego,Elementary School District,Economic Status,currstatus,San Diego/Imperial,Increased,Orange,"High, Increased (Orange )",High,3.50%
Alpine Union Elementary,2019,All Students,San Diego,Elementary School District,All Students,currstatus,San Diego/Imperial,Increased,Orange,"Medium, Increased (Orange )",Medium,2.20%
Alpine Union Elementary,2019,Hispanic,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Orange,"Medium, Increased (Orange )",Medium,2.30%
Alpine Union Elementary,2019,Two or More,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Orange,"Medium, Increased (Orange )",Medium,1.90%
Alpine Union Elementary,2019,White,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Orange,"Medium, Increased (Orange )",Medium,2.00%
Alpine Union Elementary,2016,All Students,San Diego,Elementary School District,All Students,priorstatus,San Diego/Imperial,Increased,Yellow,"Low, Increased (Yellow )",Low,1.10%
Alpine Union Elementary,2016,White,San Diego,Elementary School District,Race/Ethnicity,priorstatus,San Diego/Imperial,Increased,Yellow,"Low, Increased (Yellow )",Low,0.80%
Alpine Union Elementary,2016,Hispanic,San Diego,Elementary School District,Race/Ethnicity,priorstatus,San Diego/Imperial,Maintained,Green,"Low, Maintained (Green )",Low,0.70%
Alpine Union Elementary,2015,Black,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,,No Color,3.00%
Alpine Union Elementary,2015,SwD,San Diego,Elementary School District,Disability Status,currstatus,San Diego/Imperial,Increased,Yellow,"Low, Increased (Yellow )",Low,1.30%
Alpine Union Elementary,2015,Econ Disadv,San Diego,Elementary School District,Economic Status,currstatus,San Diego/Imperial,Maintained,Green,"Low, Maintained (Green )",Low,1.10%
Alpine Union Elementary,2017,All Students,San Diego,Elementary School District,All Students,currstatus,San Diego/Imperial,Increased,Yellow,"Low, Increased (Yellow )",Low,1.40%
Alpine Union Elementary,2017,White,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Yellow,"Low, Increased (Yellow )",Low,1.20%
Alpine Union Elementary,2017,Hispanic,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Green,"Low, Maintained (Green )",Low,0.90%
Alpine Union Elementary,2014,SwD,San Diego,Elementary School District,Disability Status,priorstatus,San Diego/Imperial,Increased,Yellow,"Low, Increased (Yellow )",Low,0.40%
Alpine Union Elementary,2014,Econ Disadv,San Diego,Elementary School District,Economic Status,priorstatus,San Diego/Imperial,Maintained,Green,"Low, Maintained (Green )",Low,1.30%
Alpine Union Elementary,2014,Asian,San Diego,Elementary School District,Race/Ethnicity,priorstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Alpine Union Elementary,2014,Filipino,San Diego,Elementary School District,Race/Ethnicity,priorstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Alpine Union Elementary,2014,All Students,San Diego,Elementary School District,All Students,priorstatus,San Diego/Imperial,Maintained,Blue,"Very Low, Maintained (Blue )",Very Low,0.60%
Alpine Union Elementary,2014,White,San Diego,Elementary School District,Race/Ethnicity,priorstatus,San Diego/Imperial,Maintained,Blue,"Very Low, Maintained (Blue )",Very Low,0.40%
Alpine Union Elementary,2014,Amer Indian,San Diego,Elementary School District,Race/Ethnicity,priorstatus,San Diego/Imperial,Declined,Blue,"Very Low, Declined (Blue )",Very Low,1.00%
Alpine Union Elementary,2014,Hispanic,San Diego,Elementary School District,Race/Ethnicity,priorstatus,San Diego/Imperial,Declined,Blue,"Very Low, Declined (Blue )",Very Low,0.80%
Alpine Union Elementary,2016,Asian,San Diego,Elementary School District,Race/Ethnicity,priorstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Alpine Union Elementary,2016,Filipino,San Diego,Elementary School District,Race/Ethnicity,priorstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Alpine Union Elementary,2016,Two or More,San Diego,Elementary School District,Race/Ethnicity,priorstatus,San Diego/Imperial,Maintained,Blue,"Very Low, Maintained (Blue )",Very Low,0.00%
Alpine Union Elementary,2015,Asian,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Alpine Union Elementary,2015,Filipino,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Alpine Union Elementary,2015,All Students,San Diego,Elementary School District,All Students,currstatus,San Diego/Imperial,Maintained,Blue,"Very Low, Maintained (Blue )",Very Low,0.40%
Bonsall Unified,2017,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Increased Significantly,Red,"High, Increased Significantly (Red )",High,5.60%
Bonsall Unified,2016,All Students,San Diego,Unified School District,All Students,priorstatus,San Diego/Imperial,Increased,Yellow,"Low, Increased (Yellow )",Low,1.70%
Bonsall Unified,2016,Black,San Diego,Unified School District,Race/Ethnicity,priorstatus,San Diego/Imperial,Increased,Yellow,"Low, Increased (Yellow )",Low,0.00%
Bonsall Unified,2016,Filipino,San Diego,Unified School District,Race/Ethnicity,priorstatus,San Diego/Imperial,Increased,Yellow,"Low, Increased (Yellow )",Low,0.00%
Bonsall Unified,2016,White,San Diego,Unified School District,Race/Ethnicity,priorstatus,San Diego/Imperial,Increased,Yellow,"Low, Increased (Yellow )",Low,1.40%
Bonsall Unified,2016,Hispanic,San Diego,Unified School District,Race/Ethnicity,priorstatus,San Diego/Imperial,Maintained,Green,"Low, Maintained (Green )",Low,1.30%
Bonsall Unified,2015,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,No Color,No Color,,No Color,0.60%
Bonsall Unified,2015,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Bonsall Unified,2015,Filipino,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Bonsall Unified,2015,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,,No Color,0.40%
Bonsall Unified,2015,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Bonsall Unified,2015,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,,No Color,0.40%
Bonsall Unified,2017,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,,No Color,8.30%
Bonsall Unified,2017,Amer Indian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Red,"Very High, Increased (Red )",Very High,10.70%
Bonsall Unified,2019,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Green,"Low, Maintained (Green )",Low,2.40%
Bonsall Unified,2019,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Green,"Low, Declined (Green )",Low,2.20%
Bonsall Unified,2017,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Increased,Yellow,"Low, Increased (Yellow )",Low,2.10%
Bonsall Unified,2017,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Yellow,"Low, Increased (Yellow )",Low,1.90%
Bonsall Unified,2017,Filipino,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Yellow,"Low, Increased (Yellow )",Low,2.00%
Bonsall Unified,2017,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Yellow,"Low, Increased (Yellow )",Low,2.00%
Bonsall Unified,2017,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Green,"Low, Maintained (Green )",Low,1.30%
Bonsall Unified,2019,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Declined,Green,"Medium, Declined (Green )",Medium,3.60%
Bonsall Unified,2019,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Declined,Green,"Medium, Declined (Green )",Medium,3.10%
Bonsall Unified,2016,Asian,San Diego,Unified School District,Race/Ethnicity,priorstatus,San Diego/Imperial,Maintained,Blue,"Very Low, Maintained (Blue )",Very Low,0.00%
Bonsall Unified,2016,Two or More,San Diego,Unified School District,Race/Ethnicity,priorstatus,San Diego/Imperial,Declined,Blue,"Very Low, Declined (Blue )",Very Low,1.70%
Bonsall Unified,2016,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,priorstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Bonsall Unified,2016,Amer Indian,San Diego,Unified School District,Race/Ethnicity,priorstatus,San Diego/Imperial,Increased,Red,"Very High, Increased (Red )",Very High,9.50%
Bonsall Unified,2014,Amer Indian,San Diego,Unified School District,Race/Ethnicity,priorstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Bonsall Unified,2017,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,"Very Low, Maintained (Blue )",Very Low,0.00%
Bonsall Unified,2017,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Blue,"Very Low, Declined (Blue )",Very Low,0.00%
Bonsall Unified,2018,Amer Indian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Red,"Very High, Increased (Red )",Very High,14.20%
Bonsall Unified,2019,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Bonsall Unified,2019,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,"Very Low, Maintained (Blue )",Very Low,0.80%
Bonsall Unified,2019,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Blue,"Very Low, Declined (Blue )",Very Low,0.00%
Bonsall Unified,2019,Filipino,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Blue,"Very Low, Declined (Blue )",Very Low,0.00%
Bonsall Unified,2016,SwD,San Diego,Unified School District,Disability Status,priorstatus,San Diego/Imperial,Increased Significantly,Red,"High, Increased Significantly (Red )",High,1.80%
Bonsall Unified,2016,Econ Disadv,San Diego,Unified School District,Economic Status,priorstatus,San Diego/Imperial,Maintained,Yellow,"Medium, Maintained (Yellow )",Medium,2.60%
Bonsall Unified,2018,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Orange,"High, Increased (Orange )",High,8.00%
Bonsall Unified,2018,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Increased,Orange,"Medium, Increased (Orange )",Medium,3.70%
Bonsall Unified,2018,Filipino,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Orange,"Medium, Increased (Orange )",Medium,3.80%
Bonsall Unified,2018,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Declined,Green,"Medium, Declined (Green )",Medium,4.30%
Bonsall Unified,2018,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Increased,Yellow,"Low, Increased (Yellow )",Low,2.50%
Bonsall Unified,2018,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Yellow,"Low, Increased (Yellow )",Low,1.30%
Bonsall Unified,2018,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Yellow,"Low, Increased (Yellow )",Low,2.30%
Bonsall Unified,2018,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Green,"Low, Declined (Green )",Low,1.60%
Bonsall Unified,2018,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Bonsall Unified,2018,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Blue,"Very Low, Declined (Blue )",Very Low,0.90%
Bonsall Unified,2019,Amer Indian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Orange,"Very High, Declined (Orange )",Very High,13.30%
Bonsall Unified,2015,Amer Indian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,,No Color,3.80%
Bonsall Unified,2015,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,No Color,No Color,,No Color,1.50%
Bonsall Unified,2015,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,No Color,No Color,,No Color,1.10%
Bonsall Unified,2015,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,,No Color,1.80%
Bonsall Unified,2015,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,,No Color,1.30%
Bonsall Unified,2017,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Maintained,Yellow,"Medium, Maintained (Yellow )",Medium,2.60%
Bonsall Unified,2014,SwD,San Diego,Unified School District,Disability Status,priorstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Bonsall Unified,2014,Econ Disadv,San Diego,Unified School District,Economic Status,priorstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Bonsall Unified,2014,Asian,San Diego,Unified School District,Race/Ethnicity,priorstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Bonsall Unified,2014,Two or More,San Diego,Unified School District,Race/Ethnicity,priorstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Bonsall Unified,2014,Black,San Diego,Unified School District,Race/Ethnicity,priorstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Bonsall Unified,2014,Filipino,San Diego,Unified School District,Race/Ethnicity,priorstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Bonsall Unified,2014,Hispanic,San Diego,Unified School District,Race/Ethnicity,priorstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Bonsall Unified,2014,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,priorstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Bonsall Unified,2014,White,San Diego,Unified School District,Race/Ethnicity,priorstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Bonsall Unified,2019,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Yellow,"Low, Increased (Yellow )",Low,2.00%
Bonsall Unified,2019,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Maintained,Green,"Low, Maintained (Green )",Low,2.40%
Borrego Springs Unified,2015,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Borrego Springs Unified,2015,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Maintained,Blue,"Very Low, Maintained (Blue )",Very Low,0.00%
Borrego Springs Unified,2015,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Maintained,Blue,"Very Low, Maintained (Blue )",Very Low,0.50%
Borrego Springs Unified,2016,Econ Disadv,San Diego,Unified School District,Economic Status,priorstatus,San Diego/Imperial,Maintained,Blue,"Very Low, Maintained (Blue )",Very Low,0.00%
Borrego Springs Unified,2016,Hispanic,San Diego,Unified School District,Race/Ethnicity,priorstatus,San Diego/Imperial,Maintained,Blue,"Very Low, Maintained (Blue )",Very Low,0.00%
Borrego Springs Unified,2016,White,San Diego,Unified School District,Race/Ethnicity,priorstatus,San Diego/Imperial,Maintained,Blue,"Very Low, Maintained (Blue )",Very Low,0.00%
Borrego Springs Unified,2017,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Maintained,Blue,"Very Low, Maintained (Blue )",Very Low,0.00%
Borrego Springs Unified,2017,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Maintained,Blue,"Very Low, Maintained (Blue )",Very Low,0.00%
Borrego Springs Unified,2017,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Maintained,Blue,"Very Low, Maintained (Blue )",Very Low,0.00%
Borrego Springs Unified,2017,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,"Very Low, Maintained (Blue )",Very Low,0.00%
Borrego Springs Unified,2017,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,"Very Low, Maintained (Blue )",Very Low,0.00%
Borrego Springs Unified,2018,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Increased,Yellow,"Low, Increased (Yellow )",Low,1.80%
Borrego Springs Unified,2018,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Yellow,"Low, Increased (Yellow )",Low,1.70%
Borrego Springs Unified,2018,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Increased,Green,"Very Low, Increased (Green )",Very Low,0.50%
Borrego Springs Unified,2018,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Increased,Green,"Very Low, Increased (Green )",Very Low,0.50%
Borrego Springs Unified,2018,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,"Very Low, Increased (Green )",Very Low,0.30%
Borrego Springs Unified,2019,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Increased,Red,"Very High, Increased (Red )",Very High,9.50%
Borrego Springs Unified,2019,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Red,"Very High, Increased (Red )",Very High,11.80%
Borrego Springs Unified,2019,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Increased Significantly,Red,"High, Increased Significantly (Red )",High,5.50%
Borrego Springs Unified,2019,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Increased Significantly,Red,"High, Increased Significantly (Red )",High,5.90%
Borrego Springs Unified,2019,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased Significantly,Red,"High, Increased Significantly (Red )",High,4.60%
Borrego Springs Unified,2015,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Declined,Blue,"Very Low, Declined (Blue )",Very Low,0.50%
Borrego Springs Unified,2015,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Blue,"Very Low, Declined (Blue )",Very Low,0.30%
Borrego Springs Unified,2014,White,San Diego,Unified School District,Race/Ethnicity,priorstatus,San Diego/Imperial,Maintained,Green,"Low, Maintained (Green )",Low,1.30%
Borrego Springs Unified,2014,Two or More,San Diego,Unified School District,Race/Ethnicity,priorstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Borrego Springs Unified,2014,SwD,San Diego,Unified School District,Disability Status,priorstatus,San Diego/Imperial,Maintained,Blue,"Very Low, Maintained (Blue )",Very Low,0.00%
Borrego Springs Unified,2014,Econ Disadv,San Diego,Unified School District,Economic Status,priorstatus,San Diego/Imperial,Maintained,Blue,"Very Low, Maintained (Blue )",Very Low,0.80%
Borrego Springs Unified,2014,All Students,San Diego,Unified School District,All Students,priorstatus,San Diego/Imperial,Declined,Blue,"Very Low, Declined (Blue )",Very Low,1.10%
Borrego Springs Unified,2014,Hispanic,San Diego,Unified School District,Race/Ethnicity,priorstatus,San Diego/Imperial,Declined,Blue,"Very Low, Declined (Blue )",Very Low,1.10%
Borrego Springs Unified,2014,Amer Indian,San Diego,Unified School District,Race/Ethnicity,priorstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Borrego Springs Unified,2014,Asian,San Diego,Unified School District,Race/Ethnicity,priorstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Borrego Springs Unified,2014,Black,San Diego,Unified School District,Race/Ethnicity,priorstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Borrego Springs Unified,2014,Filipino,San Diego,Unified School District,Race/Ethnicity,priorstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Borrego Springs Unified,2014,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,priorstatus,San Diego/Imperial,No Color,No Color,,No Color,0.00%
Borrego Springs Unified,2016,All Students,San Diego,Unified School District,All Students,priorstatus,San Diego/Imperial,Maintained,Blue,"Very Low, Maintained (Blue )",Very Low,0.00%
Borrego Springs Unified,2016,SwD,San Diego,Unified School District,Disability Status,priorstatus,San Diego/Imperial,Maintained,Blue,"Very Low, Maintained (Blue )",Very Low,0.00%
Borrego Springs Unified,2015,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Green,"Low, Maintained (Green )",Low,1.30%
Cajon Valley Union,2017,Amer Indian,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined Significantly,Yellow,"High, Declined Significantly (Yellow )",High,5.00%
Cajon Valley Union,2017,Asian,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Yellow,"Medium, Maintained (Yellow )",Medium,1.90%
Cajon Valley Union,2017,All Students,San Diego,Elementary School District,All Students,currstatus,San Diego/Imperial,Increased,Orange,"High, Increased (Orange )",High,3.30%
Cajon Valley Union,2017,Econ Disadv,San Diego,Elementary School District,Economic Status,currstatus,San Diego/Imperial,Increased,Orange,"High, Increased (Orange )",High,4.10%
Cajon Valley Union,2017,Hispanic,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Orange,"High, Increased (Orange )",High,3.10%
Cajon Valley Union,2017,White,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Orange,"High, Increased (Orange )",High,3.20%
Cajon Valley Union,2015,Amer Indian,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined Significantly,Blue,"Very Low, Declined Significantly (Blue )",Very Low,0.00%
Cajon Valley Union,2017,SwD,San Diego,Elementary School District,Disability Status,currstatus,San Diego/Imperial,Maintained,Red,"Very High, Maintained (Red )",Very High,6.90%
Cajon Valley Union,2017,Black,San Diego,Elementary School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Red,"Very High, Maintained (Red )",Very High,6.50%
Cajon Valley Union,2014,Black,San Diego,Elementary School District,Race/Ethnicity,priorstatus,San Diego/Imperial,Maintained,Red,"Very High, Maintained (Red )",Very High,7.90%
